i               ti                    y(ti)
     0          0.00000000          2.00000000
     1          0.01000000          2.00004983
     2          0.02000000          2.00019867
     3          0.03000000          2.00044553
     4          0.04000000          2.00078944
     5          0.05000000          2.00122942
     6          0.06000000          2.00176453
     7          0.07000000          2.00239382
     8          0.08000000          2.00311635
     9          0.09000000          2.00393119
    10          0.10000000          2.00483742
    11          0.11000000          2.00583414
    12          0.12000000          2.00692044
    13          0.13000000          2.00809543
    14          0.14000000          2.00935824
    15          0.15000000          2.01070798
    16          0.16000000          2.01214379
    17          0.17000000          2.01366482
    18          0.18000000          2.01527021
    19          0.19000000          2.01695913
    20          0.20000000          2.01873075
    21          0.21000000          2.02058425
    22          0.22000000          2.02251880
    23          0.23000000          2.02453360
    24          0.24000000          2.02662786
    25          0.25000000          2.02880078
    26          0.26000000          2.03105159
    27          0.27000000          2.03337949
    28          0.28000000          2.03578374
    29          0.29000000          2.03826357
    30          0.30000000          2.04081822
    31          0.31000000          2.04344696
    32          0.32000000          2.04614904
    33          0.33000000          2.04892373
    34          0.34000000          2.05177032
    35          0.35000000          2.05468809
    36          0.36000000          2.05767633
    37          0.37000000          2.06073433
    38          0.38000000          2.06386141
    39          0.39000000          2.06705687
    40          0.40000000          2.07032005
    41          0.41000000          2.07365025
    42          0.42000000          2.07704682
    43          0.43000000          2.08050909
    44          0.44000000          2.08403642
    45          0.45000000          2.08762815
    46          0.46000000          2.09128365
    47          0.47000000          2.09500227
    48          0.48000000          2.09878339
    49          0.49000000          2.10262639
    50          0.50000000          2.10653066
    51          0.51000000          2.11049558
    52          0.52000000          2.11452055
    53          0.53000000          2.11860497
    54          0.54000000          2.12274825
    55          0.55000000          2.12694981
    56          0.56000000          2.13120906
    57          0.57000000          2.13552544
    58          0.58000000          2.13989837
    59          0.59000000          2.14432728
    60          0.60000000          2.14881164
    61          0.61000000          2.15335087
    62          0.62000000          2.15794444
    63          0.63000000          2.16259180
    64          0.64000000          2.16729242
    65          0.65000000          2.17204578
    66          0.66000000          2.17685133
    67          0.67000000          2.18170858
    68          0.68000000          2.18661699
    69          0.69000000          2.19157607
    70          0.70000000          2.19658530
    71          0.71000000          2.20164420
    72          0.72000000          2.20675226
    73          0.73000000          2.21190899
    74          0.74000000          2.21711392
    75          0.75000000          2.22236655
    76          0.76000000          2.22766643
    77          0.77000000          2.23301307
    78          0.78000000          2.23840601
    79          0.79000000          2.24384480
    80          0.80000000          2.24932896
    81          0.81000000          2.25485807
    82          0.82000000          2.26043165
    83          0.83000000          2.26604929
    84          0.84000000          2.27171052
    85          0.85000000          2.27741493
    86          0.86000000          2.28316208
    87          0.87000000          2.28895155
    88          0.88000000          2.29478291
    89          0.89000000          2.30065575
    90          0.90000000          2.30656966
    91          0.91000000          2.31252422
    92          0.92000000          2.31851904
    93          0.93000000          2.32455371
    94          0.94000000          2.33062784
    95          0.95000000          2.33674102
    96          0.96000000          2.34289289
    97          0.97000000          2.34908304
    98          0.98000000          2.35531110
    99          0.99000000          2.36157669
   100          1.00000000          2.36787944
